section,benefit,notes,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B,source_pdf,source_slug,source_page,source_table,repair_flags
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Normal Ward [Note (17)],,"1,000/day",,700/day,,"2,300/day [Note (13)]",As Charged,750/day,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Intensive Care Unit Ward,,"1,400/day",,"1,200/day",,"7,000/day [Note (13)]","1,250/day",750/day,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,1,1,forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Psychiatric,,"7,000/yr","7,000/yr","3,500/yr (Additional post- hospitalisation psychiatric treatment of 500/yr within 200 days after Confinement)","3,500/yr (Additional post- hospitalisation psychiatric treatment of 1,000/yr within 200 days after Confinement)","3,000/yr (including post-hospitalisation benefits) [Note (16)]","4,000/yr (Including post-hospitalisation benefits) [Note (16)]",-,500/day (up to 35 days/yr),"5,000/yr (Includes post hospitalisation psychiatric treatment up to 90 days)",03_class_b1_plans.pdf,class_b1_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital,,"1,000/day (up to 45 days for each admission)",As Charged (up to 90 days for each admission),450/day,As Charged,"Sub-acute Care: 1,000/day Rehabilitation Care: 800/day","Sub-acute Care Public hospitals: As-charged Private hospitals: 1,000/day Rehabilitation Care Public hospitals: As-charged Private hospitals: 800/day",550/day,As Charged,As Charged (up to 45 days),03_class_b1_plans.pdf,class_b1_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care (General),,-,As Charged,-,As Charged,800/day,As Charged,-,As Charged,560/day,03_class_b1_plans.pdf,class_b1_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care (Specialised),,760/day,As Charged,-,As Charged,800/day,As Charged,-,As Charged,560/day,03_class_b1_plans.pdf,class_b1_plans,1,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Basic|forward_fill_from_previous:[AIA] HealthShield Gold Max C*|forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B PLUS|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Surgical Procedures,,"500 - 8,200",As Charged,"As Charged in Governmen/Restructured Hospitals, else subject to pro- ration factor",As Charged,"1,100 - 21,900",As Charged,"600 - 8,500",As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,1,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Basic|forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Implants,,"9,000/admission",As Charged,"7,000/treatment",As Charged,"10,000/treatment","8,000/treatment","600 - 8,500",As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,1,1,forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Radiosurgery,,"9,600/treatment course (includes Proton Beam Therapy - Category 4) [Note (15a and 15b)]",As Charged,"9,600/procedure",As Charged,"31,500/treatment course","10,000/treatment","600 - 8,500",As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,1,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Basic|forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma (Note (12)),,-,"10,000/yr",-,As Charged,"14,100/treatment","20,000/yr",-,As Charged,"14,040/treatment",03_class_b1_plans.pdf,class_b1_plans,1,1,
