Benefits,Standard IP
Other Policy Features,
Pro-ration factors (for Singapore Citizens) (Note (1)),Class A - 80% Private Hospital - 50% Private Hospital Day Surgery - 65% Outpatient treatment in Private Outpatient Clinics - 65%
Deductibles (Per Policy Year) (Note (2)),
- Class C,"1,500"
- Class B2/B2+,"2,000"
- Class B1,"2,500"
- Class A and Private Hospital,"2,500"
- Subsidised Day Surgery/ Short Stay Wards,"1,500"
- Unsubsidised Day Surgery/ Short Stay Wards,"2,000"
Co-insurance,10%
Policy Year Limit,"200,000"
Lifetime Limit,Unlimited
Final Expense Benefit,None
Last Entry Age,None
Maximum Coverage Age,Lifetime
